City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
447,Gornopravdinsk,RU,60.05,69.9,52.83,42,29,4.74,scattered clouds
448,Odweyne,SO,9.4092,45.064,76.55,53,32,19.82,scattered clouds
449,Oranjemund,NA,-28.55,16.4333,64.58,32,0,13.0,clear sky
450,Korla,CN,41.7597,86.1469,84.58,9,0,14.61,clear sky
451,Camabatela,AO,-8.1881,15.375,58.87,50,95,6.69,overcast clouds
452,Urumqi,CN,43.801,87.6005,72.55,23,0,6.71,clear sky
453,Sidhi,IN,24.4167,81.8833,109.15,8,7,6.64,clear sky
454,Darovskoy,RU,58.77,47.9564,59.83,79,31,1.79,scattered clouds
455,Gbadolite,CD,4.2833,21.0167,69.19,99,100,3.74,overcast clouds
456,Stephenville,US,32.2207,-98.2023,84.24,50,5,22.59,clear sky
457,Taoudenni,ML,22.6783,-3.9836,92.48,8,62,7.02,broken clouds
458,Riyadh,SA,24.6877,46.7219,87.94,7,0,6.2,clear sky
459,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,73,40,13.8,scattered clouds
460,Maues,BR,-3.3836,-57.7186,72.28,99,100,2.55,overcast clouds
461,Omaruru,NA,-21.4333,15.9333,49.66,54,99,10.31,overcast clouds
462,Baherden,TM,38.4362,57.4316,93.31,10,2,13.67,clear sky
463,Narasannapeta,IN,18.4167,84.05,91.89,60,96,11.7,overcast clouds
464,Liverpool,GB,53.4106,-2.9779,52.29,90,100,3.44,overcast clouds
465,Medvezhyegorsk,RU,62.9167,34.4667,53.17,49,55,8.9,broken clouds
466,Itarema,BR,-2.9248,-39.9167,74.08,91,94,9.53,overcast clouds
467,Gopinathpur,IN,22.65,86.0667,92.88,30,88,7.14,overcast clouds
468,General Roca,AR,-39.0333,-67.5833,52.63,56,94,12.17,overcast clouds
469,Guntakal,IN,15.1667,77.3833,87.67,41,100,8.37,overcast clouds
470,Shenkursk,RU,62.1091,42.896,60.37,66,7,5.39,clear sky
471,Bosansko Grahovo,BA,44.1794,16.3639,67.64,69,52,1.72,broken clouds
472,Turbat,PK,26.0023,63.044,101.68,5,0,5.1,clear sky
473,Zeerust,ZA,-25.5369,26.0751,44.96,68,15,4.18,few clouds
474,La Dolorita,VE,10.4883,-66.7861,69.42,90,15,1.01,few clouds
475,Millau,FR,44.0833,2.9167,53.73,96,6,2.06,clear sky
476,Nueve De Julio,AR,-35.4444,-60.8831,45.3,76,1,3.15,clear sky
477,Port-Gentil,GA,-0.7193,8.7815,75.31,87,100,5.82,overcast clouds
478,Nekhayevskiy,RU,50.4106,41.7561,60.69,74,4,14.79,clear sky
479,Colares,PT,38.7992,-9.4469,62.29,75,85,18.01,overcast clouds
480,Sembe,CG,1.6481,14.5806,68.18,98,90,1.21,overcast clouds
481,Saraland,US,30.8207,-88.0706,77.72,78,81,2.66,broken clouds
482,Oksbol,DK,55.6268,8.2876,55.9,90,100,19.53,light rain
483,Kjollefjord,NO,70.9457,27.3465,44.65,83,89,21.79,overcast clouds
484,Mkushi,ZM,-13.6202,29.3939,51.33,82,43,9.82,scattered clouds
485,Sur,OM,22.5667,59.5289,94.89,38,0,2.73,clear sky
486,Kamina,CD,-8.7386,24.9906,55.15,65,5,5.7,clear sky
487,Concord,US,37.978,-122.0311,68.99,82,0,9.22,clear sky
488,Ugoofaaru,MV,5.6667,73.0,82.51,77,99,11.9,overcast clouds
489,Polyarnyy,RU,69.1989,33.4478,42.73,88,100,24.94,moderate rain
490,Rtishchevo,RU,52.2604,43.7874,56.91,87,100,12.19,overcast clouds
491,Rundu,NA,-17.9333,19.7667,43.75,66,48,6.6,scattered clouds
492,Schenectady,US,42.8334,-74.0829,57.9,84,76,1.3,broken clouds
493,Bereznik,RU,62.8551,42.7072,60.64,68,12,4.38,few clouds
494,Pipri,IN,19.8,75.5333,92.88,30,99,8.1,overcast clouds
495,Beyneu,KZ,45.3167,55.2,92.39,11,99,18.63,overcast clouds
496,Moengo,SR,5.6167,-54.4,72.99,97,100,4.21,overcast clouds
497,Osterburg,DE,52.7833,11.7667,64.22,91,100,9.48,overcast clouds
498,Tanem,NO,63.3078,10.4319,41.02,83,60,2.08,broken clouds
499,Varkkallai,IN,8.7341,76.7067,85.78,77,99,5.82,overcast clouds
500,Quattro Castella,IT,44.635,10.4743,68.34,75,1,3.8,clear sky
501,Vestmanna,FO,62.1564,-7.1664,49.12,87,100,8.05,overcast clouds
502,Antalaha,MG,-14.9003,50.2788,72.93,71,2,7.54,clear sky
503,Kariba,ZW,-16.5167,28.8,57.45,64,0,5.75,clear sky
504,Molina,CL,-35.1167,-71.2833,47.37,100,8,3.44,fog
505,Mbandaka,CD,0.0487,18.2603,70.48,91,98,1.86,overcast clouds
506,Fomboni,KM,-12.28,43.7425,78.03,75,16,22.32,moderate rain
507,Bitlis,TR,38.5,42.25,68.34,26,0,4.7,clear sky
508,Pervomayskiy,RU,53.2485,40.2871,56.71,83,0,13.78,clear sky
509,Salinopolis,BR,-0.6136,-47.3561,77.86,85,100,6.64,overcast clouds
510,Zig,US,40.127,-92.7663,69.39,75,0,5.75,light rain
511,Tutoia,BR,-2.7619,-42.2744,74.79,91,99,7.94,overcast clouds
512,Orsha,BY,54.5153,30.4053,57.2,73,33,5.7,scattered clouds
513,Laguna,US,38.421,-121.4238,74.39,71,0,10.36,clear sky
514,Bahia Honda,CU,22.9036,-83.1592,77.58,85,92,0.18,overcast clouds
515,Jablah,SY,35.3614,35.9256,70.09,83,20,3.44,few clouds
516,Onega,RU,63.9061,38.1404,49.28,90,100,5.44,overcast clouds
517,Batie,BF,9.8833,-2.9167,72.97,87,100,6.8,overcast clouds
518,Capreol,CA,46.706,-80.9225,54.07,71,40,5.75,scattered clouds
519,Itapage,BR,-3.6867,-39.5861,69.17,97,82,2.62,broken clouds
520,Kondinskoye,RU,59.6481,67.41,55.72,42,40,6.78,scattered clouds
521,Dudinka,RU,69.4058,86.1778,33.62,43,10,5.17,clear sky
522,Plyussa,RU,58.4308,29.3654,54.81,74,90,8.43,overcast clouds
523,Fernandopolis,BR,-20.2839,-50.2464,64.27,58,6,7.45,clear sky
524,Tamayo,DO,18.3947,-71.2029,75.92,91,87,1.74,overcast clouds
525,Mirnyy,RU,62.5353,113.9611,60.24,82,100,7.0,overcast clouds
526,Balkanabat,TM,39.5108,54.3671,95.32,8,27,16.53,scattered clouds
527,Roros,NO,62.5747,11.3842,33.64,86,40,4.61,scattered clouds
528,Chaumont,FR,48.1167,5.1333,54.37,95,80,4.85,broken clouds
529,Asosa,ET,10.0667,34.5333,63.86,82,100,5.21,overcast clouds
530,Ladnun,IN,27.65,74.3833,100.13,15,0,17.18,clear sky
531,Kuusamo,FI,65.9667,29.1833,48.24,53,0,13.8,clear sky
532,Abnub,EG,27.2696,31.1511,79.02,27,24,4.59,few clouds
533,Zomin,UZ,39.9606,68.3958,82.96,21,0,6.15,clear sky
534,Sardinata,CO,8.0829,-72.8007,73.08,81,89,3.56,overcast clouds
535,Aksarka,RU,66.5606,67.7975,47.82,37,99,5.06,overcast clouds
536,Doka,SD,13.5167,35.7667,81.95,48,66,10.69,broken clouds
537,Oussouye,SN,12.485,-16.5469,80.69,83,18,7.05,few clouds
538,Maputo,MZ,-25.9653,32.5892,62.22,87,75,11.5,broken clouds
539,Vaikam,IN,9.7667,76.4,85.96,71,97,2.59,overcast clouds
540,Limoges,FR,45.75,1.3333,54.16,94,100,3.44,overcast clouds
541,Oranjestad,AW,12.524,-70.027,82.35,78,40,19.57,scattered clouds
542,Machhiwara,IN,30.9147,76.1983,106.47,8,4,5.06,clear sky
543,Goya,AR,-29.14,-59.2626,60.84,98,100,5.86,overcast clouds
544,Carupano,VE,10.6678,-63.2585,75.63,91,14,5.12,few clouds
545,Negombo,LK,7.2083,79.8358,84.25,79,40,11.5,scattered clouds
546,Porto Walter,BR,-8.2686,-72.7439,74.28,85,97,1.23,overcast clouds
547,Abdulino,RU,53.7,53.6667,63.01,76,95,9.04,overcast clouds
548,Kalmunai,LK,7.4167,81.8167,85.73,64,100,6.02,overcast clouds
549,Kasongo-Lunda,CD,-6.4667,16.8167,63.63,61,30,3.29,scattered clouds
550,Zambezi,ZM,-13.5432,23.1047,47.84,77,47,5.93,scattered clouds
551,Ndele,CF,8.4109,20.6473,69.33,93,100,3.65,overcast clouds
552,Abu Samrah,SY,35.3029,37.1841,73.56,43,0,9.13,clear sky
553,Mangai,CD,-4.05,19.5333,67.03,68,60,2.46,broken clouds
554,Mecca,SA,21.4267,39.8261,97.21,12,0,4.05,clear sky
